_key,killedUsingWeapon,hasIBCCode
0,executed,a6376-dh3642
1,pistols,a6379-kr3551
2, gunfire,a6379-kr3551
3, executed,a6379-kr3551
4,magnetic bomb,a6365-db3634
5,magnetic bomb,a6365-vn3511
6,mortar shells,a6367-nw3485
7, roadside bombs,a6367-nw3485
8, suicide car bombs,a6367-nw3485
9,mortar shells,a6367-ke3670
10, roadside bombs,a6367-ke3670
11, suicide car bombs,a6367-ke3670
12,mortar shells,a6367-nf3535
13, roadside bombs,a6367-nf3535
14, suicide car bombs,a6367-nf3535
15,mortar shells,a6367-ka3500
16, roadside bombs,a6367-ka3500
17, suicide car bombs,a6367-ka3500
18,air attacks,a6363-nv3559
19, artillery shells,a6363-nv3559
20,air attacks,a6363-fn3690
21, artillery shells,a6363-fn3690
22,gunfire,a6347-sv3519
23, executed,a6347-sv3519
24,gunfire,a6347-zv3654
25, executed,a6347-zv3654
26,bomb at house,a6348-sz3469
27,bomb at house,a6348-ev3448
28,bomb at house,a6348-dv3523
29,air attacks,a6354-xe3527
30,roadside bomb,a6381-xz3480
31,automatic weapons,a6353-zs3444
32,air attacks,a6334-hd3552
33,rocket,a6313-vm3513
34,rocket,a6313-xc3570
35,air attacks,a6317-hu3565
36,roadside bomb,a6279-kb3674
37,roadside bomb,a6279-xb3547
38,air attacks,a6261-xa3469
39,air attacks,a6262-dx3523
40,air attacks,a6262-ec3650
41,air attacks,a6262-dw3465
42,air attacks,a6262-zx3511
43,air attacks,a6262-sf3460
44,air attacks,a6262-zw3445
45,air attacks,a6262-sb3646
46,beheaded,a6243-sw3512
47, executed,a6243-sw3512
48,drive-by shooting,a6247-zm3529
49,air attacks,a6300-vc3586
50,gunfire,a6241-zc3459
51, died from injuries,a6241-zc3459
52,suicide bomber,a6292-sx3521
53,car bomb,a6295-ed3508
54,beheaded,a6229-hx3473
55, executed,a6229-hx3473
56,gunfire,a6222-xz3496
57,beaten,a6215-dh3658
58, tortured,a6215-dh3658
59, poisoned,a6215-dh3658
60, died from injuries,a6215-dh3658
61, executed,a6215-dh3658
62,gunfire,a6214-eh3457
63, executed,a6214-eh3457
64,gunfire,a6206-ec3642
65, executed,a6206-ec3642
66,gunfire,a6206-dw3441
67, executed,a6206-dw3441
68,tortured,a6162-fb3606
69, beaten,a6162-fb3606
70, burnt,a6162-fb3606
71, gunfire,a6162-fb3606
72, executed,a6162-fb3606
73,gunfire,a6158-bn3602
74,executed,a6153-xd3614
75,executed,a6153-kx3541
76,executed,a6153-ux3556
77,landmine,a6135-sr3517
78,landmine,a6135-zc3467
79,mortar shells,a6109-nd3492
80,gunfire,a6122-nz3686
81, executed,a6122-nz3686
82,mortar shells,a6118-bu3670
83,mortar shells,a6118-hr3485
84,mortar shells,a6118-bc3500
85,gunfire,a6121-fn3666
86, executed,a6121-fn3666
87,gunfire,a6121-hx3481
88, executed,a6121-hx3481
89,burnt to death,a6151-ks3537
90,gunfire,a6190-fv3565
91, executed,a6190-fv3565
92,gunfire,a6192-fz3487
93, executed,a6192-fz3487
94,hand grenades,a6173-bv3553
95,beheaded,a6323-nh3561
96, gunfire,a6323-nh3561
97, executed,a6323-nh3561
98,beheaded,a6323-bh3544
99, gunfire,a6323-bh3544
100, executed,a6323-bh3544
101,air attacks,a6089-sx3473
102,air attacks,a6089-ed3492
103,air attacks,a6089-dm3543
104,air attacks,a6089-ur3678
105,air attacks,a6089-dc3477
106,air attacks,a6089-vu3496
107,air attacks,a6089-xh3539
108,air attacks,a6089-vc3666
109,air attacks,a6089-xn3481
110,air attacks,a6090-zc3563
111,bomb,a6084-zn3488
112,bomb,a6084-sd3547
113,beaten,a6169-hc3471
114, strangled,a6169-hc3471
115, executed,a6169-hc3471
116,gunfire,a6056-fw3485
117,gunfire,a6056-kf3670
118,gunfire,a6059-kh3500
119, executed,a6059-kh3500
120,mortar shells,a6055-hz3666
121,mortar shells,a6055-bz3539
122,explosive device,d13118-ke3678
123,explosive device,d13118-nf3543
124,air strikes,d13114-eh3449
125,roadside bomb,d13086-kx3549
126,air strikes,d13113-ve3453
127,air strikes,d13113-xf3638
128,air strikes,d13113-ef3507
129,car bomb,d13073-zn3528
130,car bomb,d13073-sd3443
131,mortar,d13075-zu3570
132,air strike,d13083-ks3545
133, missile,d13083-ks3545
134,air strike,d13083-ns3560
135, missile,d13083-ns3560
136,air strike,d13083-hv3475
137, missile,d13083-hv3475
138,air strike,d13092-hu3541
139,air strike,d13092-fd3556
140,air strike,d13092-hc3479
141,air strike,d13092-bv3561
142,air strike,d13092-hz3618
143,air strikes,d13095-kf3622
144, missiles,d13095-kf3622
145,air strikes,d13095-fh3487
146, missiles,d13095-fh3487
147,air strikes,d13078-sa3590
148,air strikes,d13078-vs3467
149,air strikes,d13078-xu3504
150,air strikes,d13078-vm3521
151,air strikes,d13078-xc3594
152,air strikes,d13078-ek3463
153,air strikes,d13078-su3508
154,air strikes,d13048-xf3662
155,gunfire,d13058-xm3497
156, executed,d13058-xm3497
157,roadside bomb,d12993-vn3487
158,roadside bomb,d12993-xw3548
159,US air strike,d13002-eh3561
160,sniper fire,d12982-ec3602
161,air strikes,d13001-df3544
162,gunfire,d12961-sz3541
163,roadside bomb,d12955-bn3690
164,roadside bomb,d12942-ur3654
165,gunfire,d12973-zs3564
166, tortured,d12973-zs3564
167, executed,d12973-zs3564
168,motorcycle bombs,d12923-kb3602
169,air strikes,d12949-nv3439
170,drive-by shooting,a5995-hr3557
171, automatic weapons,a5995-hr3557
172,drive-by shooting,a5995-bc3540
173, automatic weapons,a5995-bc3540
174,executed,a5979-za3598
175,gunfire,a5980-xa3525
176,gunfire,a5980-nv3495
177,roadside bomb,a5987-zw3517
178,air attacks,a5989-db3570
179,air attacks,a5989-vn3447
180,air attacks,a5989-xw3524
181,air attacks,a5989-ve3509
182,air attacks,a5989-xf3582
183,air attacks,a5989-ef3451
184,air attacks,a5989-df3520
185,air attacks,a5989-eh3505
186,air attacks,a5989-dh3578
187,air attacks,a5989-nb3622
188,air attacks,a5989-kn3565
189,air attacks,a6037-sw3464
190,air attacks,a6037-hd3440
191,air attacks,a6037-fw3461
192,air attacks,a6037-kf3662
193,air attacks,a6037-fh3527
194,air attacks,a6037-kh3444
195,air attacks,a6037-bx3465
196,air attacks,a6037-xk3650
197,air attacks,a6037-bw3523
198,air attacks,a6037-fv3469
199,air attacks,a6037-hm3654
200,air attacks,a6037-fz3519
201,air attacks,a6037-hs3452
202,air attacks,a6037-uc3564
203,air attacks,a6037-sv3471
204,air attacks,a6037-zv3606
205,air attacks,a6037-sz3549
206,air attacks,a6037-ev3560
207,air attacks,a6037-dv3475
208,air attacks,a6037-ue3602
209,air attacks,a6037-dz3545
210,air attacks,a6037-zs3556
211,air attacks,a6037-xe3479
212,air attacks,a6037-za3614
213,air attacks,a6037-xa3541
214,air attacks,a6037-ea3552
215,air attacks,a6037-dx3483
216,air attacks,a6037-ec3610
217,air attacks,a6037-dw3537
218,air attacks,a6037-zx3487
219,air attacks,a6037-zw3565
220,air attacks,a6037-sb3622
221,air attacks,a6037-ua3491
222,air attacks,a6037-ds3544
223,air attacks,a6037-eb3561
224,air attacks,a6037-db3618
225,air attacks,a6037-vn3495
226,air attacks,a6037-xw3540
227,air attacks,a6037-ve3557
228,air attacks,a6037-xf3630
229,air attacks,a6037-ef3499
230,air attacks,a6037-df3536
231,air attacks,a6037-eh3553
232,air attacks,a6037-dh3626
233,air attacks,a6037-nb3574
234,air attacks,a6037-kn3517
235,air attacks,a6037-nd3532
236,air attacks,a6037-kr3439
237,air attacks,a6037-xv3570
238,air attacks,a6037-kv3513
239,air attacks,a6037-xz3528
240,air attacks,a6037-kz3443
241,air attacks,a6037-bu3582
242,air attacks,a6037-hr3509
243,air attacks,a6037-bc3524
244,air attacks,a6037-nv3447
245,air attacks,a6037-fn3578
246,air attacks,a6037-hx3505
247,air attacks,a6037-fm3520
248,air attacks,a6037-hw3451
249,air attacks,a6037-nw3533
250,air attacks,a6037-bd3525
251,air attacks,a6037-nk3523
252,drive-by shooting,a5970-hm3670
253, automatic weapons,a5970-hm3670
254,air attacks,a5972-sz3533
255,air attacks,a5972-ev3512
256,air attacks,a5961-hv3563
257,starvation / hunger,a5953-vm3449
258, executed,a5953-vm3449
259,gunfire,a5955-ek3503
260, executed,a5955-ek3503
261,magnetic bomb,a6001-ke3606
262,air strikes,d12773-fm3560
263,air strikes,d12773-hw3475
264,air strikes,d12773-nw3557
265,air strikes,d12773-sc3662
266,air strikes,d12773-nm3666
267,air strikes,d12773-ks3481
268,air strikes,d12773-ns3496
269,air strikes,d12773-hv3539
270,air strikes,d12773-xd3670
271,air strikes,d12773-kx3485
272,air strikes,d12773-ux3500
273,gunfire,d12745-kh3660
274, executed,d12745-kh3660
275,gunfire,d12745-bx3633
276, executed,d12745-bx3633
277,gunfire,d12745-xk3450
278, executed,d12745-xk3450
279,air strikes,d12749-uw3519
280, mortars,d12749-uw3519
281, Katyusha rockets,d12749-uw3519
282,air attack,a5923-hc3535
283,booby-trapped house,d12860-za3590
284,gunfire,d12783-fe3491
285,booby-trapped house,a5919-hu3485
286,air attacks,a5914-ks3473
287, machine-gun fire,a5914-ks3473
288,gunfire,a5916-bn3666
289, mortar shells,a5916-bn3666
290,truck bomb,a5907-zm3457
291,roadside bomb,a5943-sk3511
292,suicide truck bomb,a5912-vs3531
293, burnt to death,a5912-vs3531
294,gunfire,a5909-xu3448
295,booby-trapped drone,a5898-vc3634
296,roadside bomb,a5872-dc3693
297,suicide car bomb,a5947-xr3650
298,suicide bomber,a5865-zu3490
299,suicide bomber,a5865-ed3676
300,mortar shells,a5939-ur3638
301, rockets,a5939-ur3638
302,mortar shells,a5939-dc3453
303, rockets,a5939-dc3453
304,mortar shells,a5939-xh3515
305, rockets,a5939-xh3515
306,tortured,a5856-nz3518
307, executed,a5856-nz3518
308,air strike,d12801-bv3489
309,air strike,d12801-hz3690
310,mortar shells,a5933-nf3487
311,mortar shells,a5933-ka3548
312,beheaded,a5818-hr3589
313, executed,a5818-hr3589
314,magnetic bomb,a5823-bc3572
315,booby-trapped house,d12838-kf3686
316,booby-trapped house,d12838-fh3551
317,magnetic bomb,a5813-xv3522
318,gunfire,a5800-dh3546
319, tortured,a5800-dh3546
320,gunfire,a5800-nb3526
321, tortured,a5800-nb3526
322,air attacks,a5808-nd3580
323,air attacks,a5930-hw3483
324,gunfire,a5793-ve3605
325, tortured,a5793-ve3605
326, strangled,a5793-ve3605
327, executed,a5793-ve3605
328,strangled,a5794-xf3550
329, tortured,a5794-xf3550
330, executed,a5794-xf3550
331,stabbed,a5796-ef3675
332, executed,a5796-ef3675
333,suicide car bomb,d12815-dh3594
334,gunfire,d12813-vn3463
335,air attacks,a5934-xm3561
336,air attacks,a5934-kb3618
337,air attacks,a5934-xb3491
338,mortar shells and/or air strike,d12809-xe3447
339,mortar shells and/or air strike,d12809-za3582
340,gunfire,a5748-ue3554
341,gunfire,a5748-dz3625
342,magnetic bomb,a5695-nk3587
343,pistols,a5696-hu3661
344, AK 47 rifles,a5696-hu3661
345, beaten,a5696-hu3661
346,pistols,a5696-fd3644
347, AK 47 rifles,a5696-fd3644
348, beaten,a5696-fd3644
349,pistols,a5733-fz3567
350,pistols,a5733-hs3660
351,hand grenades,a5724-bw3571
352,gunfire,d12724-sw3688
353,gunfire,a5890-ve3533
354, executed,a5890-ve3533
355,gunfire,d12712-uc3612
356,air strike,d12897-kv3553
357,US air strikes,d12706-hw3651
358,US air strikes,d12706-nw3573
359,US air strikes,d12706-ka3588
360,sniper,a5882-ks3657
361,gunfire,a5888-xw3516
362, executed,a5888-xw3516
363,beaten,a5894-kn3541
364, tortured,a5894-kn3541
365, gunfire,a5894-kn3541
366, beheaded,a5894-kn3541
367, executed,a5894-kn3541
368,beaten,a5894-nd3556
369, tortured,a5894-nd3556
370, gunfire,a5894-nd3556
371, beheaded,a5894-nd3556
372, executed,a5894-nd3556
373,beaten,a5894-kr3479
374, tortured,a5894-kr3479
375, gunfire,a5894-kr3479
376, beheaded,a5894-kr3479
377, executed,a5894-kr3479
378,beaten,a5894-xv3610
379, tortured,a5894-xv3610
380, gunfire,a5894-xv3610
381, beheaded,a5894-xv3610
382, executed,a5894-xv3610
383,beaten,a5894-kv3537
384, tortured,a5894-kv3537
385, gunfire,a5894-kv3537
386, beheaded,a5894-kv3537
387, executed,a5894-kv3537
388,gunfire,d12726-xr3474
389,sniper or crossfire,d12734-hv3587
390,suicide bombers,d12736-hu3653
391, gunfire,d12736-hu3653
392, executed,d12736-hu3653
393,suicide bombers,d12736-fd3636
394, gunfire,d12736-fd3636
395, executed,d12736-fd3636
396,suicide bombers,d12736-hc3591
397, gunfire,d12736-hc3591
398, executed,d12736-hc3591
399,suicide bombers,d12737-bz3571
400,air attacks,a5879-vs3611
401, suicide car bomber,a5879-vs3611
402,air attacks,a5887-ua3467
403,air attacks,a5878b-nf3495
404,air attacks,a5878b-ka3540
405,air attacks,a5878b-xb3499
406,gunfire,d12728-uz3677
407, suicide bombers,d12728-uz3677
408,gunfire,d12728-sa3478
409, suicide bombers,d12728-sa3478
410,suicide bomber,d12730-xu3680
411,gunfire,a5618-zn3664
412,beheaded,a5624-sx3681
413, executed,a5624-sx3681
414,beheaded,a5616-fe3635
415, executed,a5616-fe3635
416,hand grenades,a5602-kd3584
417,hand grenades,a5602-bd3581
418,slaughtered,a5607-bk3631
419, executed,a5607-bk3631
420,artillery shells,a5572-zs3612
421,artillery shells,a5572-xe3679
422,gunfire,a5583-zx3671
423, executed,a5583-zx3671
424,gunfire,a5583-sf3620
425, executed,a5583-sf3620
426,roadside bomb,a5584-zw3605
427,suicide car bomb,a5586-eb3601
428,executed,a5552-hz3458
429,hand grenades,a5557-kf3462
430,mortar shells,a5558-fh3583
431,mortar shells,a5558-kh3644
432,mortar shells,a5558-bx3649
433,tortured,a5567-uc3604
434, executed,a5567-uc3604
435,patients deprived of medical care,a5533-kx3645
436, car accident,a5533-kx3645
437,patients deprived of medical care,a5533-ux3660
438, car accident,a5533-ux3660
439,gunfire,a5537-bn3450
440,gunfire,a5544-nk3579
441, executed,a5544-nk3579
442,gunfire,a5544-fb3454
443, executed,a5544-fb3454
444,drowned,a5529-nm3442
445,air attacks,a5512-zc3619
446,executed,a5524-xc3498
447,executed,a5524-ek3623
448,executed,a5524-su3668
449,drive-by shooting,a5509-sk3607
450, automatic weapons,a5509-sk3607
451,artillery shells,a5511-es3486
452,artillery shells,a5511-sr3669
453,gunfire,a5481-kb3522
454, executed,a5481-kb3522
455,gunfire,a5481-xb3651
456, executed,a5481-xb3651
457,executed,a5482-kd3576
458,roadside bomb,a5485-bk3655
459,roadside bomb,a5485-nx3572
460,roadside bomb,a5495-hn3568
461,roadside bomb,a5495-zn3688
462,gunfire,a5497-sx3673
463,gunfire,a5497-ed3692
464,gunfire,a5497-dm3599
465,roadside bomb,a5453-nd3596
466,roadside bomb,a5453-kr3631
467,slaughtered with a sword,a5443-db3554
468,slaughtered with a sword,a5443-vn3687
469,slaughtered with a sword,a5443-xw3604
470,slaughtered with a sword,a5443-ve3621
471,roadside bomb,a5445-xf3566
472,drive-by shooting,a5437-sf3612
473, pistols with silencers,a5437-sf3612
474,gunfire,d12720-es3502
475,gunfire,a5431-zx3679
476, executed,a5431-zx3679
477,gunfire,d12722-zc3603
478, executed,d12722-zc3603
479,executed,d12634-hw3635
480,executed,d12618-vn3679
481,executed,d12618-xw3612
482,gunfire,d12587-hu3685
483, executed,d12587-hu3685
484,gunfire,d12558-sd3587
485, executed,d12558-sd3587
486,gunfire,d12558-zu3458
487, executed,d12558-zu3458
488,beheaded,d12531-sv3647
489, died from shock,d12531-sv3647
490,beheaded,d12531-zv3526
491, died from shock,d12531-zv3526
492,air strikes,d12597-kf3478
493,air strikes,d12597-fh3599
494,air strikes,d12597-kh3692
495,air strikes,d12597-bx3665
496,air strikes,d12596-bz3603
497,air strikes,d12596-hd3688
498,drive-by shooting,d12527-hs3692
499, pistols with silencers,d12527-hs3692
500,gunfire,d12543-ka3628
501,gunfire,d12543-xm3609
502,roadside bomb,d12505-hu3693
503,roadside bomb,d12485b-ed3636
504,roadside bomb,d12485b-dm3591
505,gunfire,d12487-ur3470
506,gunfire,d12466-xb3675
507, executed,d12466-xb3675
508,gunfire,d12466-kd3616
509, executed,d12466-kd3616
510,gunfire,d12466-bd3613
511, executed,d12466-bd3613
512,gunfire,d12466-nz3542
513, executed,d12466-nz3542
514,gunfire,d12439-bw3627
515,drive-by shooting,d12423-hu3669
516, automatic weapons,d12423-hu3669
517,automatic weapons,d12414-ns3688
518,gunfire,d12419-bh3680
519, executed,d12419-bh3680
520,throat slit,d12391-xb3683
521,drive-by shooting,a5424-dz3609
522, pistols with silencers,a5424-dz3609
523,drive-by shooting,a5424-zs3620
524, pistols with silencers,a5424-zs3620
525,mortar shells,a5427-xe3671
526,mortar shells,a5427-za3550
527,gunfire,a5419-ck3640
528,magnetic bomb,a5400-bz3595
529,roadside bomb,a5471-fm3584
530,roadside bomb,a5471-hw3643
531,hand grenades,a5472-nw3597
532, AK47 rifles,a5472-nw3597
533, suicide bombers,a5472-nw3597
534,hand grenade,a5392-hu3645
535,hand grenade,a5392-fd3660
536,magnetic bomb,a5366-sc3494
537,gunfire,a5334b-sd3611
538,tortured,a5318-bc3596
539, executed,a5318-bc3596
540,mortar shells,a5298-fv3669
541,gunfire,a5304-ue3546
542, executed,a5304-ue3546
543,gunfire,a5304-dz3601
544, executed,a5304-dz3601
545,burnt to death,a5306-xe3663
546, tortured,a5306-xe3663
547, executed,a5306-xe3663
548,hand grenades,a5288-eu3637
549,hand grenades,a5288-sc3454
550,gunfire,a5290-ks3689
551,gunfire,a5261-kz3683
552,gunfire,a5261-bu3566
553,gunfire,a5261-hr3621
554,magnetic bomb,a5236-dw3585
555,magnetic bomb,a5236-zx3631
556,booby-trapped houses,a5231-xa3589
557,booby-trapped houses,a5231-ea3568
558,booby-trapped houses,a5231-dx3659
559,executed,a5217-fh3607
560,mortar shells,a5225-dv3651
561,beaten,a5216-kf3486
562, tortured,a5216-kf3486
563, died from injuries,a5216-kf3486
564,gunfire,a5214-fw3669
565,air strike,d12892-dh3570
566,air strike,d12892-nb3630
567,air strike,d12892-kn3557
568,air strike,d12892-nd3540
569,air strike,d12892-kr3495
570,gunfire,a5190-sk3583
571,gunfire,a5190-es3462
572,gunfire,a5190-sr3661
573,slaughtered,a5175-fm3608
574, executed,a5175-fm3608
575,gunfire,a5156-ve3581
576, executed,a5156-ve3581
577,magnetic bomb,a5160-df3592
578,roadside bomb,a5145-dv3659
579,roadside bomb,a5145-ue3530
580,roadside bomb,a5145-dz3585
581,machine-gun fire,a5149-za3526
582, died from injuries,a5149-za3526
583,executed,a5154-db3514
584,executed,a5154-vn3631
585,gunfire,a5127-eu3653
586,gunfire,a5127-sc3470
587,gunfire,a5113-uw3583
588, executed,a5113-uw3583
589,slaughtered,a5121-uz3661
590, executed,a5121-uz3661
591,roadside bomb,a5100-dc3645
592,roadside bomb,a5100-vu3648
593,drive-by shooting,d12384-xf3534
594, machine-gun fire,d12384-xf3534
595,magnetic bomb,a5060-db3522
596,gunfire,a5058-eb3593
597, executed,a5058-eb3593
598,magnetic bomb,a5030-ux3684
599,roadside bomb,a5031-kw3607
600,roadside bomb,a5031-bn3474
601,air attack,a5036-hu3677
602,tortured,d12368-dz3577
603, executed,d12368-dz3577
604,gunfire,d12326-xr3466
605,gunfire,d12326-uw3591
606,gunfire,d12330-sa3470
607,gunfire,d12330-vs3587
608,executed,d12331-xu3640
609,roadside bomb,d12290-db3530
610,roadside bomb,d12290-vn3647
611,gunfire,d12335-su3644
612, executed,d12335-su3644
613,air attacks,a5951-eh3513
614,rocket,d12256-ka3660
615,air attacks,a5950-xf3574
616,air attacks,a5950-ef3443
617,magnetic bomb,d12231-bx3577
618,,d12247-sb3478
619,gunfire,d12215-uz3605
620,gunfire,d12215-sa3550
621,gunfire,d12215-vs3667
622,drive-by shooting,d12230-kh3588
623,executed,d12207-sw3616
